u,g,r,i,z,ra,dec,flags_r
22.59398,22.14827,20.90375,20.45332,20.08553,180.866887031587,-0.185855801512394,4503874773712896
21.47346,20.46209,20.01738,19.86615,19.449,180.865926376726,-0.206894681609358,4503874773745664
23.61601,22.36193,21.55088,20.8674,20.96038,180.732740200728,-0.0414124148802248,4503874773712896
23.5672,22.79475,21.78179,21.48944,20.41195,180.732404997184,-0.19188799769484,4503874773712896
25.19048,24.25846,22.88689,22.18422,20.97808,180.73098304606,-0.100660549261576,4503874815656208
23.16506,22.5859,21.63458,21.06166,21.0649,180.731924006544,-0.101158603431409,6755674595820048
24.08143,23.84725,22.55434,21.73123,22.1076,180.731966721322,-0.0895498890105892,4503874807267344
25.83405,24.10986,21.41412,20.66473,19.68848,180.732048277919,-0.0865310026126157,2310346883987440912
24.36994,21.56252,19.77219,19.172,18.84267,180.732604700175,-0.0874992137791,6755674587430928
24.38697,22.8971,22.25634,21.50574,21.15761,180.730269363956,-0.06142510691492,4503874773712896
22.81875,22.59175,22.05803,21.87453,21.79696,180.730374518339,-0.20179088760525,4503874916352000
23.36157,22.34374,21.66516,21.02529,21.03602,180.729982641782,-0.19064110263386,4503874773712896
22.55005,21.62557,20.49372,20.24534,19.76663,180.866229837987,-0.127436278985603,4503874773745664
25.37563,24.24547,22.27096,22.13138,21.04426,180.730546282666,-0.168032069022113,4503874849243208
22.93342,22.55586,22.0386,21.34913,20.78378,180.867913556388,-0.141019831687095,2312598683801092120
24.07413,22.46619,21.43348,21.40257,22.43908,180.868179665685,-0.022545192611918,2310346883987439632
25.37608,22.73183,21.81501,21.2072,22.09404,180.598008823424,-0.0122430981398523,4503874916352000
23.04135,23.08424,21.94812,21.83643,22.14798,180.599374508536,-0.150829566088026,4503874773712896
23.38786,21.97871,21.47836,21.36328,21.56659,180.598182823928,-0.0279318127671936,2310346883987406872
24.60161,22.70101,22.20859,22.01046,21.61417,180.597360228791,-0.168987996268654,4503874773712896
21.91477,21.07792,20.34772,20.22948,20.22769,180.597263366598,-0.0843959430692093,6755674587432216
21.82102,20.56191,19.87723,19.62012,19.49019,180.599588967196,-0.189401885876052,2312598683801126160
24.33539,24.12621,23.02534,22.7873,21.56715,180.600225194432,-0.199144694107833,4503874807267344
23.92293,23.54127,22.76847,23.10793,22.84112,180.460662681425,-0.192792087277592,4503874782101760
23.25053,23.25194,22.1018,22.17678,22.71828,180.460341729517,-0.105359723967953,4503874782134528
22.35328,22.40109,21.6067,21.17669,21.26293,180.459442001921,-0.176959580204459,4503874907963904
24.76477,23.66149,22.31624,22.15831,21.11166,180.459409428303,-0.0786728843423053,49539871047417856
23.22599,23.35882,22.45542,22.02395,21.6626,180.459348824666,-0.179924322529525,4503874916319488
23.66807,23.61281,22.5669,22.33775,21.98696,180.458691529311,-0.0399484626094219,13511074028453888
24.2987,23.41219,22.09554,22.56408,22.49543,180.45844142794,-0.0125449971429885,4503874773712896
24.67953,23.95251,22.59453,21.98759,20.7744,180.458097599276,-0.117789211068215,4503874907930624
23.4286,22.18464,20.50762,20.06829,19.8627,180.461035465355,-0.0339313861642369,6755674587430936
23.50486,21.92519,21.19258,21.03129,21.66371,180.460985864636,-0.0665982771883924,4503874773745664
23.06428,21.83678,21.56549,21.31519,21.16185,180.46067588362,-0.0817327209695225,4503874773712896
23.25618,22.50379,21.55633,21.2305,20.94256,180.460441097124,-0.0147655442435025,4503874773712896
23.99857,22.68446,21.17103,19.85045,19.32049,180.458400728759,-0.0698851541249296,2310346883987439632
23.5007,21.83927,21.02361,21.11689,20.41159,180.45851692521,-0.141472644846002,4503874773745664
22.98439,21.73057,20.93328,20.56765,20.5764,180.46108555992,-0.00647936958882306,2310346883987439632
20.54323,19.15268,18.28093,17.84002,17.59967,180.461169034809,-0.00884898759212673,6755674587430928
22.52401,20.23702,19.06697,18.60492,18.23939,180.46058370062,-0.17261661734391,4503874773745664
25.07995,24.61446,22.43104,22.00318,22.50253,180.459064470385,-0.205481095338896,4503874807267352
21.72353,19.52208,18.3208,17.84359,17.4313,180.457990529898,-0.206161669990477,6755674587430928
25.31223,23.98495,21.53715,20.64062,19.78605,180.317501227935,-0.204729814170925,4503874773746944
24.6188,22.88059,22.02724,21.23793,20.92961,180.318285985642,-0.0488056494898395,2312598683801092112
22.74091,22.43977,21.81438,21.86179,20.96811,180.318052276646,-0.0274849091425457,4503874907930624
22.23825,22.351,21.18701,20.92866,20.49116,180.3173378561,-0.0192354126794064,4503874782134272
22.05614,20.31766,19.06826,18.60556,18.26965,180.317208321038,-0.0948578721913596,4503874773745664
23.23431,22.29556,21.43661,21.25279,20.67419,180.31661861226,-0.0759228028766766,4503874840821832
22.23197,21.21664,20.02722,19.72616,19.22725,180.316794592245,-0.163460177497054,4503874773745664
21.95519,20.78518,20.01195,19.64655,19.2267,180.316206273959,-0.0875616096905127,4503874773745664
23.9527,21.50837,19.87148,19.19909,18.63159,180.315250533845,-0.0906884725885204,6755674587430928
24.14545,24.14118,21.75027,20.6394,20.38548,180.168383947038,-0.155463358377697,4503874773712896
24.87119,24.92264,22.13099,21.14627,20.32451,180.168127717373,-0.116141251146544,4503874782134272
24.63474,23.4629,22.05664,21.74692,21.51754,180.167221115656,-0.181546247330118,4503874773712896
25.00638,22.76035,21.85155,21.46214,20.90272,180.166092539787,-0.00462235391935825,4503874773712896
23.73497,21.89234,20.79823,20.35781,20.02268,180.167364438432,-0.128866128462745,4503874782134784
